station,n_intervals,mean_lag_hours,sd_lag_hours,se_lag_hours,ci_lower_95,ci_upper_95
bel03,334,22.61304969879518,67.29531512018762,3.6822358140395717,15.39586750327762,29.83023189431274
bel04,373,19.91431940700809,59.68528772825078,3.090387054723117,13.857160779750782,25.9714780342654
bel05,794,9.867088594276096,29.838946156113447,1.0589445744335315,7.791557228386374,11.942619960165818
bel06,380,20.237952674897123,62.410131276941904,3.2015721820467498,13.962871198085494,26.51303415170875
bel07,212,33.93290343915344,71.81317538241424,4.932149134737267,24.2658911350684,43.59991574323848
bel08,628,11.296179889953853,30.452693937583366,1.2151947814145976,8.914398118381243,13.677961661526464
bel09,62,88.80856944444444,194.7540964545634,24.733794983536903,40.330331276712116,137.28680761217677
bel10,153,46.717098969830765,136.1891100430143,11.010236975808136,25.13703449724682,68.29716344241471
bel11,58,61.2653125,276.5636145615442,36.31458168686759,-9.911267606260473,132.44189260626047
bel14,7,32.49981481481482,78.23061762370286,29.568394163329213,-25.454237745310436,90.45386737494007
bel15,482,11.353856481481479,60.25381120517881,2.744485895651524,5.974664126004492,16.733048836958467
bel16,7,48.68115740740741,66.71620314242452,25.21635456190303,-0.7428975339225303,98.10521234873735
bel18,12,58.92348484848485,113.37248000420998,32.727815924563046,-5.223034363658726,123.07000406062842
bel21,2,0.010555555555555556,NA,NA,NA,NA
