station,n_intervals,mean_lag_hours,sd_lag_hours,se_lag_hours,ci_lower_95,ci_upper_95
blaitiere1170,107,103.2543108974359,220.80061440711458,21.34560107510593,61.41693279022828,145.0916890046435
blaitiere1700,356,53.658978288633456,138.6979554949406,7.350976939292676,39.25106348761981,68.0668930896471
blaitiere1900,5,63.78037037037037,57.856907370053534,25.874395569469655,13.06655505420985,114.4941856865309
blaitiere2000,1,NA,NA,NA,NA,NA
combasses1600,647,22.97547161647629,52.656813314852286,2.070152944224411,18.917971845796444,27.032971387156138
lespres1600,81,100.63524964838255,144.24167545890057,16.02685282876673,69.22261810399976,132.04788119276535
lespres1800,105,76.76723570658037,120.84238518951682,11.793009252172421,53.652937572322415,99.88153384083832
lespres2000,2,NA,NA,NA,NA,NA
loriaz1500,213,111.56157859078591,239.8377255676596,16.433410174967428,79.35209464784975,143.77106253372207
loriaz1600Ouest,932,29.968285533910535,63.09473336358706,2.0667367080520993,25.91748158612842,34.019089481692646
loriaz1700,1289,24.86751626333593,85.72053218913271,2.387582571212674,20.187854423759088,29.54717810291277
loriaz1700Ouest,234,101.27657571288101,224.635990536702,14.684914092331892,72.4941440919105,130.05900733385153
loriaz1900,547,53.10435683364255,108.1994107100781,4.626272734215902,44.03686227457938,62.17185139270572
loriaz1919Ouest,781,28.51553151019235,106.60535918641142,3.8146396696879132,21.03883775760404,35.99222526278066
loriaz1919OuestHight,620,11.66845604099245,29.431113147110054,1.1819819475437625,9.351771423806674,13.985140658178224
loriaz2100,11,268.84836805555557,301.6818448626278,90.96049867923121,90.56579064426239,447.13094546684874
loriaz2100Ouest,36,206.38020609318997,346.05646240317907,57.67607706719651,93.33509504148482,319.42531714489513
loriaz2300Ouest,1,NA,NA,NA,NA,NA
para1400,63,135.2490536723164,533.447264511375,67.2080380697519,3.5212990556026966,266.9768082890301
para1480,34,14.85128136200717,33.26087691356078,5.704193331274809,3.6710624327085437,26.031500291305797
para1600,74,240.94930976430976,563.7104318593642,65.53000663890973,112.51049675204669,369.3881227765728
para1900,1,NA,NA,NA,NA,NA
para2100,1,NA,NA,NA,NA,NA
peclerey1400,568,29.762783698440884,114.43485277757705,4.801579759518438,20.35168736978475,39.17388002709702
peclerey1400Nord,285,81.5550659472422,223.57705356133448,13.243561676974094,55.597685060372974,107.51244683411142
peclerey1400Planet,718,27.09226079164719,74.51172551693803,2.7807528988668566,21.64198510986815,32.542536473426225
peclerey1400Rec,272,60.0964138576779,108.63752545354821,6.587117534569212,47.18566348992225,73.00716422543356
peclerey1600,621,37.55634855899945,110.77689953723994,4.445323850995727,28.843513811047828,46.26918330695108
peclerey1600Nord,569,42.95545900178253,157.08290773227216,6.5852580609032785,30.048353202412102,55.862564801152956
peclerey1800,213,87.1032181571816,159.7438258045427,10.945466590592858,65.6501036396196,108.5563326747436
peclerey1900Nord,469,35.063374218374214,107.1455444301074,4.94752155032022,25.366231979746583,44.76051645700184
peclerey2000,179,93.1922093023256,298.2505848812057,22.292295357400313,49.49931040182098,136.88510820283022
peclerey2000Nord,47,31.646124338624336,63.92889131670052,9.324987188380348,13.369149449398854,49.92309922784982
posettes1600,1079,19.72859817918478,49.72144597518803,1.5136763579604209,16.761792517582354,22.695403840787204
posettes1800,220,46.73183641975308,97.13293006940455,6.548700809344426,33.896382833438004,59.567290006068156
