station,n_intervals,mean_lag_hours,sd_lag_hours,se_lag_hours,ci_lower_95,ci_upper_95
blaitiere1170,49,211.80461352657005,544.1446232673344,77.73494618104777,59.444119011716424,364.16510804142365
blaitiere1700,727,34.69191624169371,72.61793331102166,2.6932500675248887,29.41314610934493,39.970686374042494
blaitiere1900,1598,16.665030048916844,62.32049319323299,1.558987001386795,13.609415526198726,19.720644571634963
blaitiere2000,2,264.2036111111111,NA,NA,NA,NA
blaitiere2046,26,368.6927380952381,697.0100871383997,136.69492444191184,100.7706861890909,636.6147900013852
blaitiere2230,19,0.08340277777777778,0.20283605200202837,0.046533781725452764,-0.007803434404109633,0.1746089899596652
combasses1600,1328,11.04266439909297,38.44357783867934,1.0549327182046742,8.97499627141181,13.110332526774132
couvercle2400,1,NA,NA,NA,NA,NA
lespres1600,17,263.62216666666666,545.6007877297068,132.32762807234008,4.260015644880127,522.9843176884532
lespres1800,262,30.057255341880342,86.34656135593069,5.334508375723317,19.601618925462642,40.51289175829804
lespres2000,43,161.2604268292683,322.47976917121287,49.17770375979833,64.8721274600636,257.648726198473
loriaz1500,510,53.88580234617087,134.48924216175502,5.955283740172842,42.2134462154321,65.55815847690964
loriaz1600Ouest,586,43.56923779315649,155.82327887833785,6.437000318974533,30.952717167966405,56.18575841834657
loriaz1700,702,46.22486951649056,142.34822197444984,5.372587419766221,35.694598173748766,56.75514085923235
loriaz1700Ouest,284,80.3684752415459,233.60065942821552,13.86164889756976,53.199643402309164,107.53730708078263
loriaz1900,932,25.762100168350155,85.66272995176944,2.8059760151938415,20.262387178570226,31.261813158130085
loriaz1919Ouest,608,28.09047744499908,75.84332406618,3.075852953324171,22.061805656483706,34.119149233514456
loriaz1919OuestHight,144,48.30651604068857,109.42094968082941,9.11841247340245,30.434427592819766,66.17860448855737
loriaz2100,9,87.56925925925925,172.18209108146885,57.394030360489616,-24.923040247300392,200.06155876581892
loriaz2100Ouest,21,193.81350694444444,365.1613499708445,79.684739386364555,37.631417747169905,349.995596141719
loriaz2300Ouest,2,NA,NA,NA,NA,NA
para1400,11,78.096875,151.99072811414007,45.82692879704767,-11.723905442213436,167.91765544221343
para1480,26,308.1826570048309,423.55020022304024,83.06502830474668,145.37520152752742,470.99011248213435
para1600,566,42.31615093588211,103.42150590496476,4.34713013728347,33.795775866806515,50.83652600495771
para1900,779,30.43247586107508,93.01983975850634,3.3327816252516667,23.900223875581815,36.964727846568344
para2100,291,33.72666470357283,184.3984282887337,10.809627304318385,12.539795187108798,54.913534220036865
para2270,2,372.8305555555556,NA,NA,NA,NA
para2390,4,407.7813888888889,629.651685540822,314.825842770411,-209.2772629411166,1024.8400407188944
para2500,1,NA,NA,NA,NA,NA
peclerey1400,116,140.6818068068068,365.92758304761605,33.97552314116915,74.08978145011527,207.27383216349835
peclerey1400Nord,102,155.07103801169592,416.83516785345597,41.272831727636905,74.17628782552758,235.96578819786424
peclerey1400Planet,276,69.36297662976631,243.78222147045759,14.673965349432478,40.60200454487865,98.12394871465396
peclerey1400Rec,55,268.28795,520.4560266630596,70.17827631888004,130.73852841499516,405.8373715850049
peclerey1600,1425,18.439342703677553,82.3559793828933,2.1816631898084764,14.16328285165294,22.715402555702166
peclerey1600Nord,640,43.075077795358645,181.17677890564164,7.161641005932203,29.038261423731527,57.11189416698576
peclerey1800,191,111.54493928354583,362.43370659754027,26.224782619598454,60.14436534913286,162.9455132179588
peclerey1900Nord,3386,7.603135296438794,57.624263401590476,0.9902888975362412,5.662169057267762,9.544101535609826
peclerey2000,199,89.60736183827808,262.1281416406712,18.581771291283474,53.18709010736247,126.02763356919368
peclerey2000Nord,1,NA,NA,NA,NA,NA
peclerey2200,6,0.03240740740740741,0.05083965757057186,0.020755203290954153,-0.008272791042862729,0.07308760585767755
peclerey2200Nord,3,0.8645833333333333,1.219562778996465,0.7041148987472572,-0.5154818682112907,2.2446485348779572
peclerey2400,2,NA,NA,NA,NA,NA
planaig2100,1,NA,NA,NA,NA,NA
planaig2200,2,0.011944444444444445,NA,NA,NA,NA
posettes1600,2308,9.125990977951469,46.40009940381105,0.9658307064400071,7.232962793329055,11.019019162573883
posettes1800,251,58.20284525416105,117.80302256461272,7.435660851078777,43.62894998604665,72.77674052227545
posettes2000,61,124.33440545808966,236.83857982661644,30.324072808738087,64.89922275296301,183.76958816321633
