station,n_intervals,mean_lag_hours,sd_lag_hours,se_lag_hours,ci_lower_95,ci_upper_95
bel03,26,85.75512731481483,150.20733103913324,29.4580812328166,28.01728809849429,143.49296653113538
bel04,1,NA,NA,NA,NA,NA
bel05,7,78.89105555555555,79.95970145399902,30.221926422035878,19.65607976836523,138.12603134274588
bel06,1,NA,NA,NA,NA,NA
bel07,3,417.0813888888889,NA,NA,NA,NA
bel08,9,460.4245833333333,1032.1598235974511,344.0532745324837,-213.91983475033476,1134.7690014170014
bel09,40,114.19817982456141,513.3161269935958,81.16240604980014,-44.88013603304685,273.27649568216964
bel10,97,77.83430994152047,410.7421679053842,41.70454850414009,-3.9066051265941013,159.57522500963506
bel11,6,232.83444444444442,465.01004267580265,189.83955497092444,-139.25108329856747,604.9199721874563
bel13,151,42.83898769574944,120.82343818814819,9.832471954656556,23.567342664622586,62.11063272687629
bel14,171,42.461413543721235,111.41636735988806,8.520222561020274,25.7617773241215,59.161049763320975
bel15,5,238.47083333333333,414.02137233120766,185.15598653406616,-124.43490027343634,601.376566940103
bel18,31,147.972183908046,229.718999143837,41.25875022251729,67.1050334719121,228.8393343441799
bel21,110,61.581471193415645,152.82244479746603,14.571048391143357,33.02221634677467,90.14072604005662
