station,n_intervals,mean_lag_hours,sd_lag_hours,se_lag_hours,ci_lower_95,ci_upper_95
blaitiere2400,5,588.5672222222222,698.3417997966396,312.307947174967,-23.556354240713176,1200.6907986851575
combasses1600,53,19.68117777777778,51.791518232337346,7.114112152152668,5.737517959558552,33.62483759599701
couvercle2400,74,122.00376683501683,281.95868109976556,32.77703090116929,57.76078626872503,186.24674740130865
couvercle2600,56,102.03611111111111,247.57136506508374,33.08311524462424,37.19320523164761,166.8790169905746
couvercle2700,18,47.26938492063492,107.92734350764201,25.438718823234524,-2.5905039729047488,97.12927381417458
loriaz1500,5,0.007870370370370371,0.00834412880993024,0.0037316078464036877,5.564189914191433e-4,0.015184321749321598
loriaz1700,1,NA,NA,NA,NA,NA
loriaz1900,4,0.012777777777777779,NA,NA,NA,NA
loriaz1919Ouest,1,NA,NA,NA,NA,NA
loriaz2100,30,240.0868,472.7632646237861,86.31436813141057,70.91063846243529,409.2629615375647
loriaz2300,43,188.51427631578946,316.1633158065119,48.21445365210886,94.0139471576561,283.0146054739228
loriaz2300Ouest,427,39.409826968973746,115.0559518167293,5.5679477608936905,28.49664935762211,50.32300458032538
para2100,5,0.020763888888888887,0.03342300823420699,0.014947223684844408,-0.008532669533406152,0.05006044731118393
para2390,5,1064.1258333333333,775.9200286471952,347.0019858317425,384.00194110311793,1744.2497255635485
para2500,9,99.05131944444443,143.62312827562945,47.874376091876485,5.217542304366518,192.88509658452233
